 --------------------------------------------------
 Mach Number =   0.29999999999999999     
 --------------------------------------------------
    alpha(deg)                CL                        CD                        Cm
  -112.00000000000000      -0.62440561552955287       -1.6158739537222018       0.55723536033162846     
  -111.00000000000000      -0.60526533429483242       -1.6477751735095634       0.56494491527288071     
  -110.00000000000000      -0.58499616325336301       -1.6786324193354099       0.57236027453897709     
  -108.99999999999999      -0.56363809131080000       -1.7083922886802674       0.57947231562514001     
  -108.00000000000000      -0.54123374343935460       -1.7370038777477916       0.58627227634593460     
  -107.00000000000000      -0.51782826996657449       -1.7644189324167994       0.59275176459983403     
  -106.00000000000000      -0.49346923070098364       -1.7905919978208815       0.59890276759973538     
  -105.00000000000000      -0.46820647381855252       -1.8154805669452907       0.60471766055139764     
  -104.00000000000001      -0.44209200936089160       -1.8390452286621697       0.61018921476201315     
  -103.00000000000000      -0.41517987711592835       -1.8612498156523556       0.61531060516134883     
  -102.00000000000000      -0.38752600856439878       -1.8820615526841316       0.62007541721812853     
  -101.00000000000000      -0.35918808248044226       -1.9014512057359281       0.62447765323458782     
  -100.00000000000000      -0.33022537367147264       -1.9193932324595988       0.62851173800239701     
  -99.000000000000014      -0.30069859423083872       -1.9358659344827032       0.63217252380342337     
  -98.000000000000000      -0.27066972655634325       -1.9508516120404102       0.63545529473912110     
  -97.000000000000000      -0.24020184725780483       -1.9643367214088334       0.63835577037266367     
  -96.000000000000000      -0.20935894093715329       -1.9763120355788533       0.64087010866831184     
  -95.000000000000000      -0.17820570267488325       -1.9867728085611334       0.64299490821292615     
  -94.000000000000000      -0.14680732789639978       -1.9957189436447116       0.64472720970499819     
  -92.999999999999986      -0.11522928812119160       -2.0031551658402242       0.64606449669713240     
  -92.000000000000000       -8.3537090916674051E-002  -2.0090911986189472       0.64700469557852025     
  -91.000000000000000       -5.1796022187702906E-002  -2.0135419449049081       0.64754617478468501     
  -90.000000000000000       -2.0070868732986084E-002  -2.0165276720821206       0.64768774322262224     
  -89.000000000000000        1.1574381207073164E-002  -2.0180742005338348       0.64742864790046173     
  -87.999999999999986        4.3076861897743450E-002  -2.0182130949254447       0.64676857075193972     
  -87.000000000000000        7.4375181250521297E-002  -2.0169818570647973       0.64570762464737086     
  -86.000000000000000       0.10540980206072312       -2.0144241187088396       0.64424634858442431     
  -85.000000000000000       0.13612345643805004       -2.0105898321159512       0.64238570205394196     
  -84.000000000000000       0.16646159669338159       -2.0055354554495617       0.64012705857830898     
  -83.000000000000014       0.19637288607237258       -1.9993241292965456       0.63747219842257219     
  -82.000000000000000       0.22580973279377656       -1.9920258395472190       0.63442330048164342     
  -81.000000000000000       0.25472887083147666       -1.9837175606622890       0.63098293335066047     
  -80.000000000000000       0.28309199073949193       -1.9744833718924080       0.62715404558993337     
  -79.000000000000000       0.31086642351508853       -1.9644145372827617       0.62293995520102396     
  -78.000000000000000       0.33802587997008826       -1.9536095382510925       0.61834433833651958     
  -77.000000000000014       0.36455124726470678       -1.9421740451372651       0.61337121727306176     
  -76.000000000000000       0.39043144306410776       -1.9302208113537354       0.60802494768538373     
  -75.000000000000014       0.41566432609884307       -1.9178694705970494       0.60231020526864387     
  -74.000000000000000       0.44025765961799368       -1.9052462140040323       0.59623197176740761     
  -73.000000000000000       0.46423012116626305       -1.8924833201727005       0.58979552048247907     
  -72.000000000000000       0.48761234811901333       -1.8797185066759385       0.58300640134162607     
  -71.000000000000000       0.51044800327669204       -1.8670940671913761       0.57587042563736646     
  -70.000000000000000       0.53279483834315466       -1.8547557538480568       0.56839365055468416     
  -68.999999999999986       0.55472572508049423       -1.8428513601493655       0.56058236363411729     
  -68.000000000000000       0.57632961415530426       -1.8315289563096007       0.55244306734146875     
  -66.999999999999986       0.59771237002963740       -1.8209347266479978       0.54398246394474725     
  -66.000000000000000       0.61899741666523078       -1.8112103586348012       0.53520744093222195     
  -65.000000000000000       0.64032611342898094       -1.8024899363317186       0.52612505724300285     
  -64.000000000000000       0.66185776378873540       -1.7948962986165011       0.51674253062362097     
  -63.000000000000000       0.68376914190807503       -1.7885368362694445       0.50706722647095714     
  -62.000000000000000       0.70625340530575864       -1.7834987234479285       0.49710664857365244     
  -61.000000000000000       0.72951824717243441       -1.7798436100550457       0.48686843222088366     
  -59.999999999999993       0.75378313229704019       -1.7776018436228691       0.47636034020881551     
  -59.000000000000000       0.77927545921095831       -1.7767663436760872       0.46559026234070350     
  -58.000000000000000       0.80622550224609657       -1.7772863182410297       0.45456621908554462     
  -57.000000000000000       0.83486001544672350       -1.7790610897779757       0.44329637013097528     
  -56.000000000000000       0.86539443056448884       -1.7819343826731162       0.43178902863661234     
  -55.000000000000000       0.89802365803981177       -1.7856895099940631       0.42005268206126822     
  -54.000000000000000       0.93291160566250098       -1.7900459736394279       0.40809602049737870     
  -53.000000000000000       0.97017966427671853       -1.7946580461189896       0.39592797349310249     
  -52.000000000000007        1.0098945687295642       -1.7991159181683190       0.38355775636998518     
  -51.000000000000000        1.0520562146504235       -1.8029499574270544       0.37099492704295323     
  -50.000000000000000        1.0965861802510426       -1.8056385144507430       0.35824945430885885     
  -49.000000000000000        1.1433178433419808       -1.8066195238147162       0.34533179847665990     
  -48.000000000000000        1.1919890687661843       -1.8053058800993302       0.33225300505119520     
  -47.000000000000000        1.2422384412766021       -1.8011042346128743       0.31902481193567372     
  -46.000000000000000        1.2936059091898600       -1.7934364877553939       0.30565977026609831     
  -45.000000000000000        1.3455384720466317       -1.7817628874269114       0.29217137851344771     
  -43.999999999999993        1.3974011957474763       -1.7656053390909572       0.27857422886653882     
  -43.000000000000000        1.4484933974202798       -1.7445693425242947       0.26488416412249860     
  -42.000000000000000        1.4980693569628072       -1.7183629386618320       0.25111844235031816     
  -41.000000000000000        1.5453624457659192       -1.6868112012484737       0.23729590545271476     
  -40.000000000000000        1.5896111837983498       -1.6498651374827689       0.22343714644279045     
  -39.000000000000000        1.6300855042917255       -1.6076043338606516       0.20956466880415384     
  -38.000000000000000        1.6661114601165914       -1.5602332364768603       0.19570302977055748     
  -37.000000000000000        1.6970927571310148       -1.5080715129970841       0.18187895782835539     
  -36.000000000000000        1.7225278245086602       -1.4515394305661729       0.16812143333154678     
  -35.000000000000000        1.7420215800070644       -1.3911395391674068       0.15446171998026567     
  -34.000000000000000        1.7552915523246040       -1.3274361379560393       0.14093333423796997     
  -33.000000000000000        1.7621685131672498       -1.2610340170130543       0.12757193976306849     
  -32.000000000000000        1.7625921885100846       -1.1925578299321162       0.11441515482724342     
  -31.000000000000000        1.7566029211919956       -1.1226332039535498       0.10150226268683671     
  -29.999999999999996        1.7443303279833646       -1.0518703831365841        8.8873818114892922E-002
  -29.000000000000000        1.7259800379251615      -0.98085087434235763        7.6571147847998469E-002
  -28.000000000000000        1.7018195358410282      -0.91011726498555434        6.4635748481089383E-002
  -27.000000000000000        1.6721639956444851      -0.84016613231573778        5.3108592118091297E-002
  -26.000000000000004        1.6373628049922069      -0.77144377972814449        4.2029357438644124E-002
  -25.000000000000000        1.5977872855127710      -0.70434441800665137        3.1435611180265166E-002
  -24.000000000000000        1.5538199244085302      -0.63921035179464247        2.1361971636772777E-002
  -23.000000000000000        1.5058452691490281      -0.57633372241403980        1.1839290853577640E-002
  -21.999999999999996        1.4542425053750181      -0.51595938406665665        2.8938950165109741E-003
  -21.000000000000000        1.3993796411377091      -0.45828853862207525       -5.4530775002232298E-003
  -20.000000000000000        1.3416091560753036      -0.40348281369755745       -1.3186204153475564E-002
  -19.000000000000000        1.2812649374026939      -0.35166853117128105       -2.0296142359967857E-002
  -18.000000000000000        1.2186603098709374      -0.30294097281975896       -2.6779808794528136E-002
  -17.000000000000000        1.1540869682760739      -0.25736850288652491       -3.2640363864855332E-002
  -16.000000000000000        1.0878146333727752      -0.21499645233052536       -3.7887003213026273E-002
  -14.999999999999998        1.0200912707938465      -0.17585070583407836       -4.2534569681126191E-002
  -14.000000000000000       0.95114373440930755      -0.13994096079153506       -4.6603009401197139E-002
  -13.000000000000002       0.88117871804367509      -0.10726364836086330       -5.0116703616324094E-002
  -12.000000000000000       0.81038392098439327       -7.7804521371115876E-002  -5.3103712909939517E-002
  -10.999999999999998       0.73892935228331202       -5.1540923605832754E-002  -5.5594972483671241E-002
  -10.000000000000000       0.66696871598596275       -2.8443760816914323E-002  -5.7623476114128561E-002
  -9.0000000000000000       0.59464083396962941       -8.4791967213679129E-003  -5.9223482874088740E-002
  -8.0000000000000000       0.52207107510258199        8.3899020075202339E-003  -6.0429775268761261E-002
  -7.0000000000000000       0.44937276915708513        2.2202748482317985E-002  -6.1276990853050772E-002
  -6.0000000000000000       0.37664859158824116        3.2999624546102571E-002  -6.1799042389970450E-002
  -5.0000000000000000       0.30399191122118940        4.0821056760375590E-002  -6.2028634818127044E-002
  -4.0000000000000000       0.23148809735505779        4.5707163008557102E-002  -6.1996881204817104E-002
  -3.0000000000000000       0.15921578605319550        4.7697156190211476E-002  -6.1733014789388287E-002
  -2.0000000000000000        8.7248107672000544E-002   4.6828994428707339E-002  -6.1264190324437154E-002
  -1.0000000000000000        1.5653879174672869E-002   4.3139170126808811E-002  -6.0615365216248961E-002
   0.0000000000000000       -5.5501234365636844E-002   3.6662633032797085E-002  -5.9809249361908567E-002
   1.0000000000000000      -0.12616693256204847        2.7432573155072727E-002  -5.8906470596124805E-002
   2.0000000000000000      -0.19629492982872360        1.5479637854058958E-002  -5.7951525620853157E-002
   3.0000000000000000      -0.26582562006283933        8.3269201405915543E-004  -5.6942358108127936E-002
   4.0000000000000000      -0.33470036968305433       -1.6480730413801308E-002  -5.5878232495705449E-002
   5.0000000000000000      -0.40286052397305749       -3.6434105664897937E-002  -5.4759537361348289E-002
   6.0000000000000000      -0.47024647084660598       -5.9001485256081995E-002  -5.3587607967142591E-002
   7.0000000000000000      -0.53679675868337395       -8.4156945259131838E-002  -5.2364569810259692E-002
   8.0000000000000000      -0.60244726676521732      -0.11187391681071455       -5.1093204028634820E-002
   9.0000000000000000      -0.66713042890096019      -0.14212439398654492       -4.9776834757030874E-002
   10.000000000000000      -0.73077451308467778      -0.17487801464486671       -4.8419237985173100E-002
   10.999999999999998      -0.79330296251045906      -0.21010100981615773       -4.7024571104651046E-002
   12.000000000000000      -0.85463380598580629      -0.24775501779988923       -4.5597322113476418E-002
   13.000000000000002      -0.91467914875671841      -0.28779576047794936       -4.4142277346111626E-002
   14.000000000000000      -0.97334475797288267      -0.33017158165795074       -4.2664506584590915E-002
   14.999999999999998       -1.0305297604455899      -0.37482185074572161       -4.1169364458450416E-002
   16.000000000000000       -1.0861264739066980      -0.42167523997657547       -3.9662507136409314E-002
   17.000000000000000       -1.1400203965292732      -0.47064789009617419       -3.8149923433160274E-002
   18.000000000000000       -1.1920903828085179      -0.52164148806764898       -3.6637979585108511E-002
   19.000000000000000       -1.2422090367183549      -0.57454129136308496       -3.5133477076577935E-002
   20.000000000000000       -1.2902433549321555      -0.62921414687693766       -3.3643723011691003E-002
   21.000000000000000       -1.3360556532724197      -0.68550656854502412       -3.2176612616718010E-002
   21.999999999999996       -1.3795048077436387      -0.74324295621183689       -3.0740723513597631E-002
   23.000000000000000       -1.4204478366902249      -0.80222405867365187       -2.9345421417990736E-002
   24.000000000000000       -1.4587418419066136      -0.86222580518190273       -2.8000976874668616E-002
   25.000000000000000       -1.4942463130038948      -0.92299865046008811       -2.6718692538532797E-002
   26.000000000000004       -1.5268257802285148      -0.98426759617056370       -2.5511040329424476E-002
   27.000000000000000       -1.5563527757809179       -1.0457330636472908       -2.4391807520378866E-002
   28.000000000000000       -1.5827110326289098       -1.1070727946625059       -2.3376250448469943E-002
   29.000000000000000       -1.6057988138864936       -1.1679449444626457       -2.2481254050700464E-002
   29.999999999999996       -1.6255322272967545       -1.2279924995087237       -2.1725494810524697E-002
   31.000000000000000       -1.6418483419793362       -1.2868490969769975       -2.1129603940865493E-002
   32.000000000000000       -1.6547078937491202       -1.3441462412896514       -2.0716326717184517E-002
   33.000000000000000       -1.6640973477676968       -1.3995218046841627       -2.0510672804819170E-002
   34.000000000000000       -1.6700300906210450       -1.4526295681618118       -2.0540051202192357E-002
   35.000000000000000       -1.6725465553021126       -1.5031494154579734       -2.0834382061442412E-002
   36.000000000000000       -1.6717131470908522       -1.5507976511773935       -2.1426176182874374E-002
   37.000000000000000       -1.6676199368810216       -1.5953367954305477       -2.2350571463489090E-002
   38.000000000000000       -1.6603772158533625       -1.6365841348243164       -2.3645314093962339E-002
   39.000000000000000       -1.6501111488122155       -1.6744183064648375       -2.5350670956475831E-002
   40.000000000000000       -1.6369589028810101       -1.7087832748739440       -2.7509258627854097E-002
   41.000000000000000       -1.6210637382197899       -1.7396892372112189       -3.0165773826794907E-002
   42.000000000000000       -1.6025706016644141       -1.7672102499553803       -3.3366610284717518E-002
   43.000000000000000       -1.5816227414374215       -1.7914786827940972       -3.7159348118673732E-002
   43.999999999999993       -1.5583597515920848       -1.8126769304049966       -4.1592104105258147E-002
   45.000000000000000       -1.5329172653717309       -1.8310270993461277       -4.6712735045810104E-002
   46.000000000000000       -1.5054282720921648       -1.8467795866121546       -5.2567891874492734E-002
   47.000000000000000       -1.4760257725667121       -1.8602015428359755       -5.9201929394890343E-002
   48.000000000000000       -1.4448462612078701       -1.8715661529858663       -6.6655685491403743E-002
   49.000000000000000       -1.4120333735422201       -1.8811434831896667       -7.4965154100171558E-002
   50.000000000000000       -1.3777409970145649       -1.8891933701500661       -8.4160087644210776E-002
   51.000000000000000       -1.3421352200501586       -1.8959605209278483       -9.4262576271106555E-002
   52.000000000000007       -1.3053946746226661       -1.9016717003999395      -0.10528566204997540     
   53.000000000000000       -1.2677090757007121       -1.9065346573520516      -0.11723205505491961     
   54.000000000000000       -1.2292760296959613       -1.9107383060407099      -0.13009302365953843     
   55.000000000000000       -1.1902964254537018       -1.9144536447472731      -0.14384753213606960     
   56.000000000000000       -1.1509688971296999       -1.9178349433335207      -0.15846169380766620     
   57.000000000000000       -1.1114839368469247       -1.9210208416455523      -0.17388859703384252     
   58.000000000000000       -1.0720182334922059       -1.9241351380205711      -0.19006854436013676     
   59.000000000000000       -1.0327297359156877       -1.9272871826244935      -0.20692972312915806     
   59.999999999999993      -0.99375380837531591       -1.9305719019953524      -0.22438930036896321     
   61.000000000000000      -0.95520069150372489       -1.9340695570410784      -0.24235490808444060     
   62.000000000000000      -0.91715432941628350       -1.9378453744145359      -0.26072645975426439     
   63.000000000000000      -0.87967249261578129       -1.9419491954672574      -0.27939821744654247     
   64.000000000000000      -0.84278802880842929       -1.9464152668310759      -0.29826101369726876     
   65.000000000000000      -0.80651101354046006       -1.9512622623041058      -0.31720452463202836     
   66.000000000000000      -0.77083154740646620       -1.9564935863929747      -0.33611949132683022     
   66.999999999999986      -0.73572295019179479       -1.9620979726581336      -0.35489979470429106     
   68.000000000000000      -0.70114512659728112       -1.9680503593891674      -0.37344430408670770     
   68.999999999999986      -0.66704791498380145       -1.9743130031629441      -0.39165843898522823     
   70.000000000000000      -0.63337427276322689       -1.9808367777030007      -0.40945540557964899     
   71.000000000000000      -0.60006319419007226       -1.9875626001328937      -0.42675709142364121     
   72.000000000000000      -0.56705229467714824       -1.9944229275339815      -0.44349462226442554     
   73.000000000000000      -0.53428002826451770       -2.0013432718377864      -0.45960860203866943     
   74.000000000000000      -0.50168753067919070       -2.0082436887911763      -0.47504907021008552     
   75.000000000000014      -0.46922009960422467       -2.0150402056094916      -0.48977521932402779     
   76.000000000000000      -0.43682833696999351       -2.0216461609128626      -0.50375492012861323     
   77.000000000000014      -0.40446898622244698       -2.0279734389027420      -0.51696410236701018     
   78.000000000000000      -0.37210550164347589       -2.0339335870526920      -0.52938603711631316     
   79.000000000000000      -0.33970838789036806       -2.0394388126636551      -0.54101056215691434     
   80.000000000000000      -0.30725534686572042       -2.0444028584384433      -0.55183328610582227     
   81.000000000000000      -0.27473126655933411       -2.0487417608396239      -0.56185480064857096     
   82.000000000000000      -0.24212808320016904       -2.0523744975479010      -0.57107992373290328     
   83.000000000000014      -0.20944454435627935       -2.0552235320007557      -0.57951699046959460     
   84.000000000000000      -0.17668589683730695       -2.0572152639336290      -0.58717720300392973     
   85.000000000000000      -0.14386351960014307       -2.0582803952290956      -0.59407404593253166     
   86.000000000000000      -0.11099451846640949       -2.0583542203446363      -0.60022277000122437     
   87.000000000000000       -7.8101296404663983E-002  -2.0573768502572203      -0.60563994381330299     
   87.999999999999986       -4.5211110441278055E-002  -2.0552933783307790      -0.61034307103744501     
   89.000000000000000       -1.2355623943878652E-002  -2.0520539958582273      -0.61435026903545464     
   90.000000000000000        2.0429538947246161E-002  -2.0476140643118819      -0.61768000382431287     
   91.000000000000000        5.3105231609571521E-002  -2.0419341505987769      -0.62035087573611036     
   92.000000000000000        8.5629212176221534E-002  -2.0349800308914148      -0.62238144994169875     
   92.999999999999986       0.11795655704938847       -2.0267226679111996      -0.62379012606900208     
   94.000000000000000       0.15004005890143041       -2.0171381658940075      -0.62459504139803190     
   95.000000000000000       0.18183060807465126       -2.0062077068733548      -0.62481400248876517     
   96.000000000000000       0.21327755683415370       -1.9939174713788896      -0.62446444054518679     
   97.000000000000000       0.24432906634290835       -1.9802585461673103      -0.62356338630077257     
   98.000000000000000       0.27493243653706928       -1.9652268211772621      -0.62212746069919378     
   99.000000000000014       0.30503441930266112       -1.9488228775263228      -0.62017287811921640     
   100.00000000000000       0.33458151550861809       -1.9310518680430149      -0.61771545934119798     
   101.00000000000000       0.36352025654992998       -1.9119233915457121      -0.61477065186622304     
   102.00000000000000       0.39179747110989999       -1.8914513618392024      -0.61135355557338866     
   103.00000000000000       0.41936053787183086       -1.8696538721940628      -0.60747895203467572     
   104.00000000000001       0.44615762490580785       -1.8465530559004097      -0.60316133610076206     
   105.00000000000000       0.47213791643171732       -1.8221749433420125      -0.59841494862692945     
   106.00000000000000       0.49725182762076620       -1.7965493159159962      -0.59325380942864392     
   107.00000000000000       0.52145120804828959       -1.7697095570245127      -0.58769174974454141     
   108.00000000000000       0.54468953435422196       -1.7416925002850190      -0.58174244364386307     
   108.99999999999999       0.56692209260663240       -1.7125382750429368      -0.57541943794911565     
   110.00000000000000       0.58810615080044271       -1.6822901492222213      -0.56873618035612183     
   111.00000000000000       0.60820112185953501       -1.6509943695142615      -0.56170604552565662     
   112.00000000000000       0.62716871744700931       -1.6186999988813997      -0.55434235899623940     
   113.00000000000000       0.64497309282680448       -1.5854587513375225      -0.54665841882886546     
   114.00000000000000       0.66158098296058288       -1.5513248239626334      -0.53866751494363696     
   114.99999999999999       0.67696182996774790       -1.5163547261106278      -0.53038294614735815     
   116.00000000000000       0.69108790202396941       -1.4806071057782508      -0.52181803488179501     
   117.00000000000000       0.70393440372510419       -1.4441425731178661      -0.51298613974594787     
   118.00000000000000       0.71547957789913996       -1.4070235210960442      -0.50390066586353566     
   119.00000000000000       0.72570479880915018       -1.3693139433240229      -0.49457507317999644     
   119.99999999999999       0.73459465665521273       -1.3310792491132972      -0.48502288278257139     
   121.00000000000000       0.74213703325292824       -1.2923860758402697      -0.47525768134314322     
   122.00000000000000       0.74832316874089522       -1.2533020987367915      -0.46529312378715942     
   123.00000000000001       0.75314771914894330       -1.2138958382583254      -0.45514293429359309     
   124.00000000000000       0.75660880464335800       -1.1742364652180513      -0.44482090573099758     
   124.99999999999999       0.75870804825475335       -1.1343936039125293      -0.43434089763360390     
   126.00000000000000       0.75945060488819993       -1.0944371335027492      -0.42371683281937489     
   127.00000000000003       0.75884518041441607       -1.0544369879524937      -0.41296269274926384     
   128.00000000000000       0.75690404064422201       -1.0144629548640125      -0.40209251172370458     
   129.00000000000000       0.75364300999668643      -0.97458447358825873      -0.39112037000889033     
   130.00000000000000       0.74908145968409889      -0.93487043302342920      -0.38006038598165626     
   131.00000000000003       0.74324228525352765      -0.89538896955036951      -0.36892670737796623     
   132.00000000000000       0.73615187334586463      -0.85620726558683014      -0.35773350172614110     
   133.00000000000000       0.72784005755786574      -0.81739134927372925      -0.34649494604213549     
   133.99999999999997       0.71834006332118205      -0.77900589583558122      -0.33522521586041065     
   135.00000000000000       0.70768844174425893      -0.74111403118348929      -0.32393847367028150     
   136.00000000000000       0.69592499239785865      -0.70377713835257483      -0.31264885682409593     
   137.00000000000000       0.68309267506272087      -0.66705466738597641      -0.30137046498020303     
   137.99999999999997       0.66923751049851354      -0.63100394929442927      -0.29011734714044318     
   139.00000000000000       0.65440847033540528      -0.59568001473393206      -0.27890348833880180     
   140.00000000000000       0.63865735623466258      -0.56113541805343592      -0.26774279603496459     
   141.00000000000000       0.62203866851026623      -0.52742006737037672      -0.25664908626373412     
   142.00000000000000       0.60460946445137786      -0.49458106133348212      -0.24563606958868461     
   143.00000000000000       0.58642920663343545      -0.46266253322992129      -0.23471733690595797     
   144.00000000000000       0.56755960155452068      -0.43170550308727096      -0.22390634514180122     
   145.00000000000000       0.54806442898271324      -0.40174773840988875      -0.21321640288526905     
   146.00000000000000       0.52800936244861363      -0.37282362417433862      -0.20266065599546904     
   147.00000000000000       0.50746178136566467      -0.34496404268910569      -0.19225207322079410     
   148.00000000000000       0.48649057530790385      -0.31819626390045652      -0.18200343186577947     
   149.00000000000000       0.46516594102086417      -0.29254384669873873      -0.17192730353950256     
   150.00000000000003       0.44355917278552787      -0.26802655174778445      -0.16203604001784280     
   151.00000000000000       0.42174244679757955      -0.24466026632473409      -0.15234175925037544     
   152.00000000000000       0.39978860026416502      -0.22245694161851370      -0.14285633154124011     
   153.00000000000000       0.37777090595775642      -0.20142454289228409      -0.13359136593195325     
   154.00000000000003       0.35576284300103228      -0.18156701286967813      -0.12455819681282432     
   155.00000000000000       0.33383786468798854      -0.16288424865511666      -0.11576787078839790     
   156.00000000000000       0.31206916417407649      -0.14537209244705906      -0.10723113382115373     
   156.99999999999997       0.29052943889225646      -0.12902233624840717       -9.8958418676563187E-002
   158.00000000000000       0.26929065457187690      -0.11382274072177055       -9.0959832691501333E-002
